,name,phone,price_range,year_in_business,amenities,categories,city_name,city_code,zip_code,updated_at,open_status,website,order_online,rating,rating_count,rating,rating_count,rating
11,Tamayo,(323) 260-4700,2.0,35.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Latin American Restaurants', 'Caterers']",Los Angeles,CA,90022.0,2023-05-16 03:13:26.859905,OPEN NOW,https://www.la-tamayo.com/contact,Order Online,,35.0,4.5,53.0,7.34
12,The Cellar,(310) 277-1584,2.0,37.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Bars']",Los Angeles,CA,90067.0,2023-05-16 03:13:26.667029,OPEN NOW,http://thecellarbarandgrill.com,Order Online,3.5,37.0,4.5,7.0,6.38
13,Fathers Office,(310) 736-2224,2.0,16.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Bars']",Los Angeles,CA,90034.0,2023-05-16 03:13:26.709637,OPEN NOW,http://fathersoffice.com,,4.0,16.0,4.0,171.0,8.38
14,Cork Bar & Grill Restaurant,(323) 731-2030,2.0,29.0,['Serves alcohol'],"['Restaurants', 'Pizza', 'Bar & Grills']",Los Angeles,CA,90016.0,2023-05-16 03:13:26.817131,OPEN NOW,https://corkboards.com,,3.0,29.0,,,7.72
15,Pipers Restaurant,(323) 465-7701,2.0,39.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Pizza']",Los Angeles,CA,90004.0,2023-05-16 03:13:26.774794,OPEN NOW,,Order Online,5.0,39.0,4.0,9.0,
16,Humble Potato,(323) 989-2242,2.0,11.0,['Wheelchair accessible'],"['Restaurants', 'American Restaurants', 'Caterers']",Los Angeles,CA,90045.0,2023-05-16 03:13:26.796064,OPEN NOW,http://www.humblepotato.com,Order Online,4.0,11.0,4.5,42.0,
17,Post & Beam,(323) 299-5599,2.0,,['Serves alcohol'],"['Restaurants', 'American Restaurants', 'Soul Food Restaurants']",Los Angeles,CA,90008.0,2023-05-16 03:13:26.838566,CLOSED NOW,http://www.postandbeamla.com,,,,4.5,60.0,8.62
18,The Main Course,(310) 475-7564,2.0,37.0,"['Wheelchair accessible', 'Has Wifi', 'Takes reservations']","['Restaurants', 'Health Food Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90064.0,2023-05-16 03:13:26.645846,OPEN NOW,http://www.themaincourse.biz,Order Online,4.0,37.0,4.0,15.0,
19,Fish Grill,(310) 860-1182,2.0,17.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Seafood Restaurants', 'Caterers']",Los Angeles,CA,90035.0,2023-05-16 03:13:27.729657,OPEN NOW,http://fishgrill.com,Order Online,5.0,17.0,4.5,43.0,6.88
20,Vincenti Ristorante,(310) 207-0127,3.0,26.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Family Style Restaurants', 'Caterers']",Los Angeles,CA,90049.0,2023-05-16 03:13:26.924432,OPEN NOW,http://www.vincentiristorante.com,Order Online,4.5,26.0,4.5,54.0,7.88
21,Carlitos Gardel Restaurant,(323) 655-0891,3.0,26.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Family Style Restaurants', 'Latin American Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:13:27.275718,OPEN NOW,http://www.carlitosgardel.com,Order Online,5.0,26.0,4.5,226.0,7.74
22,TGI Fridays,(310) 337-1143,2.0,11.0,,"['Restaurants', 'American Restaurants', 'Bar & Grills']",Los Angeles,CA,90045.0,2023-05-16 03:13:26.480701,OPEN NOW,https://locations.tgifridays.com/ca/los-angeles/6721-la-tijera-blvd.html,,,11.0,,,
23,Divino,(310) 472-0886,3.0,27.0,"['Offers outdoor seating', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Pizza']",Los Angeles,CA,90049.0,2023-05-16 03:13:26.560268,OPEN NOW,http://www.divinobrentwood.com,Order Online,4.5,27.0,4.0,74.0,7.23
24,Mauro_s Restaurant,(323) 653-7970,2.0,12.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Breakfast, Brunch & Lunch Restaurants', 'Italian Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:13:26.411851,CLOSED NOW,http://www.mauroscafe.com,Order Online,5.0,12.0,4.5,44.0,8.29
25,Sor Tino,(310) 442-8466,3.0,19.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Caterers']",Los Angeles,CA,90049.0,2023-05-16 03:13:26.752789,OPEN NOW,http://www.sortinorestaurant.com,Order Online,5.0,19.0,4.0,39.0,8.08
26,Amalfi Restaurant and Bar,(323) 938-2504,2.0,31.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol']","['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90036.0,2023-05-16 03:13:26.597781,OPEN NOW,http://www.amalfiristorante.com,Order Online,4.5,31.0,,,
27,Winzza,(818) 367-6111,2.0,,,['Restaurants'],Sylmar,CA,91342.0,2023-05-16 03:07:29.227536,OPEN NOW,https://www.facebook.com/TheWinzza,Order Online,,,5.0,1.0,
28,Blu Jam Cafe,(818) 222-1044,,9.0,"['Offers outdoor seating', 'Has Wifi']","['Restaurants', 'American Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",Woodland Hills,CA,91364.0,2023-05-16 03:07:32.309199,CLOSED NOW,http://www.blujamcafe.com,Order Online,,9.0,4.5,61.0,
29,Saddle Ranch Chop House,(323) 656-2007,2.0,17.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Steak Houses', 'Caterers']",Los Angeles,CA,90069.0,2023-05-16 03:03:43.033345,OPEN NOW,http://www.thesaddleranch.com,Order Online,5.0,17.0,4.5,1790.0,7.95
30,N/Naka,(310) 836-6252,4.0,12.0,"['Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",Los Angeles,CA,90034.0,2023-05-16 03:03:43.102072,CLOSED NOW,http://n-naka.com,,,12.0,5.0,176.0,8.76
31,Water Grill,(213) 891-0900,3.0,34.0,"['Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Seafood Restaurants']",Los Angeles,CA,90071.0,2023-05-16 03:03:43.113705,OPEN NOW,http://www.watergrill.com,Order Online,5.0,34.0,4.5,892.0,9.14
32,Musso & Frank Grill,(323) 467-7788,3.0,104.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Fine Dining Restaurants']",Los Angeles,CA,90028.0,2023-05-16 03:03:43.125397,CLOSED NOW,http://mussoandfrank.com,,4.0,104.0,4.5,1284.0,8.87
33,Katsuya Hollywood,(323) 871-8777,3.0,16.0,"['Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Sushi Bars']",Los Angeles,CA,90028.0,2023-05-16 03:03:43.137242,OPEN NOW,http://www.sbe.com/katsuya,Order Online,4.5,16.0,4.5,566.0,8.56
34,Sushi A Go Go,(323) 930-7874,2.0,23.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups']","['Restaurants', 'Japanese Restaurants', 'Sushi Bars']",Los Angeles,CA,90036.0,2023-05-16 03:03:43.148648,OPEN NOW,,Order Online,3.0,23.0,4.5,748.0,6.07
35,The Cafe,(310) 440-6810,,18.0,,"['Restaurants', 'American Restaurants']",Los Angeles,CA,90049.0,2023-05-16 03:03:43.160724,CLOSED NOW,http://www.getty.edu/visit/center/eat.html,,3.0,18.0,4.5,665.0,6.12
36,The Little Door,(323) 951-1210,3.0,28.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Mediterranean Restaurants', 'Bakeries']",Los Angeles,CA,90048.0,2023-05-16 03:03:43.194650,OPEN NOW,http://www.thelittledoor.com,,,28.0,4.5,304.0,8.82
37,Nobu Los Angeles,(310) 657-5711,4.0,18.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",Los Angeles,CA,90069.0,2023-05-16 03:03:43.206588,OPEN NOW,http://www.noburestaurants.com,Order Online,5.0,18.0,4.5,495.0,8.8
38,San Antonio Winery,(323) 223-1401,3.0,106.0,['Wheelchair accessible'],"['Restaurants', 'American Restaurants', 'Italian Restaurants']",Los Angeles,CA,90031.0,2023-05-16 03:03:43.217527,CLOSED NOW,https://sanantoniowinery.com/locations/los-angeles,Order Online,4.0,106.0,4.5,183.0,
39,Eduardo_s Border Grill,(310) 475-2410,,,,"['Restaurants', 'Mexican Restaurants', 'Caterers', 'Party Favors, Supplies & Services']",,,,2023-05-16 03:13:27.597418,,,,,,,,
40,Baco Mercat,(213) 687-7000,2.0,8.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Spanish Restaurants', 'Mediterranean Restaurants']",Los Angeles,CA,90013.0,2023-05-16 03:03:43.275860,OPEN NOW,http://www.bacomercat.com,,5.0,8.0,4.5,316.0,
41,Bestia,(213) 514-5724,3.0,11.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90021.0,2023-05-16 03:13:27.150138,,http://www.bestiala.com,,5.0,11.0,4.5,633.0,9.27
42,Lares Restaurant,(310) 829-4559,,,,"['Restaurants', 'Take Out Restaurants', 'Fast Food Restaurants', 'Mexican Restaurants', 'Caterers']",,,,2023-05-16 03:13:27.570422,,,,4.0,,,,
43,Alcove Cafe & Bakery,(323) 644-0100,2.0,19.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Coffee & Tea']",Los Angeles,CA,90027.0,2023-05-16 03:13:27.217388,OPEN NOW,http://www.alcovecafe.com,Order Online,4.5,19.0,4.5,355.0,8.71
44,Taxco Fine Mexican Restaurant,(424) 287-7072,,,,"['Restaurants', 'Mexican Restaurants', 'Take Out Restaurants', 'Food Delivery Service', 'Caterers']",,,,2023-05-16 03:13:27.624341,,,,,,,,
45,Eggslut,(424) 387-8183,1.0,,,"['Restaurants', 'American Restaurants']",Venice,CA,90291.0,2023-05-16 03:07:06.716692,CLOSED NOW,https://www.eggslut.com,Order Online,,,4.5,77.0,8.49
46,Berri_s Pizza Cafe,(323) 852-0642,2.0,29.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Pizza']",Los Angeles,CA,90048.0,2023-05-16 03:13:26.947283,OPEN NOW,,Order Online,,29.0,3.5,62.0,8.83
47,Mountain Valley Airport,(661) 822-5267,,,,"['Restaurants', 'Aircraft Flight Training Schools', 'Lodging']",,,,2023-05-16 03:13:27.649968,,,,,,,,
48,The Factory Kitchen,(213) 996-6000,3.0,,"['Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",Los Angeles,CA,90013.0,2023-05-16 03:06:07.689171,OPEN NOW,http://www.thefactorykitchen.com,Order Online,5.0,,4.5,269.0,8.26
49,Philippe The Original,(213) 628-3781,1.0,96.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Sandwich Shops', 'Family Style Restaurants']",Los Angeles,CA,90012.0,2023-05-16 03:13:27.184429,OPEN NOW,http://www.philippes.com,Order Online,5.0,96.0,4.5,2228.0,8.87
50,Providence,(323) 460-4170,4.0,19.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Seafood Restaurants', 'American Restaurants']",Los Angeles,CA,90038.0,2023-05-16 03:13:27.195326,OPEN NOW,http://www.providencela.com,Order Online,5.0,19.0,4.5,797.0,8.68
51,Angelini Osteria,(323) 297-0070,3.0,22.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Mediterranean Restaurants']",Los Angeles,CA,90036.0,2023-05-16 03:13:27.206173,OPEN NOW,https://www.angelinirestaurantgroup.com,Order Online,4.5,22.0,4.5,518.0,9.14
52,Perch,(213) 802-1770,3.0,12.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'French Restaurants', 'American Restaurants']",Los Angeles,CA,90013.0,2023-05-16 03:13:27.252634,OPEN NOW,http://www.perchla.com,Order Online,4.5,12.0,4.5,955.0,8.94
53,Wurstkuche,(213) 687-4444,2.0,,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol']","['Restaurants', 'German Restaurants', 'Brew Pubs']",Los Angeles,CA,90013.0,2023-05-16 03:13:27.287059,OPEN NOW,http://www.wurstkuche.com,,5.0,,4.5,554.0,9.08
54,Oyabun Seafood,(323) 716-4355,,,,"['Restaurants', 'Seafood Restaurants', 'Sushi Bars', 'Asian Restaurants']",,,,2023-05-16 03:13:27.532723,,,,,,,,
55,Animal Restaurant,(323) 782-9225,3.0,15.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Health Food Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90036.0,2023-05-16 03:03:43.287819,CLOSED NOW,http://www.animalrestaurant.com,,4.5,15.0,4.5,286.0,8.73
56,Bossa Nova,(323) 436-7999,2.0,30.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Good for families']","['Restaurants', 'Brazilian Restaurants', 'Latin American Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:03:43.299385,OPEN NOW,http://www.bossafood.com,Order Online,5.0,30.0,4.5,529.0,
57,Joan_s on Third,(323) 655-2285,2.0,32.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Bakeries']",Los Angeles,CA,90048.0,2023-05-16 03:03:43.322481,CLOSED NOW,http://www.joansonthird.com,Order Online,4.5,32.0,4.5,523.0,9.06
58,Craft,(310) 279-4180,4.0,16.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Fine Dining Restaurants']",Los Angeles,CA,90067.0,2023-05-16 03:03:43.333905,OPEN NOW,https://www.craftlosangeles.com,Order Online,4.0,16.0,4.5,514.0,8.48
59,Ayara Thai Cuisine,(310) 410-8848,2.0,19.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Thai Restaurants', 'Japanese Restaurants']",Los Angeles,CA,90045.0,2023-05-16 03:03:43.345651,OPEN NOW,http://www.ayarathaicuisine.com,Order Online,3.5,19.0,4.5,266.0,8.66
60,Son of a Gun,(323) 782-9033,3.0,,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Seafood Restaurants']",Los Angeles,CA,90048.0,2023-05-16 03:03:43.357240,OPEN NOW,http://www.sonofagunrestaurant.com,Order Online,4.5,,4.5,199.0,8.62
61,Redbird,(213) 788-1191,3.0,15.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Cocktail Lounges']",Los Angeles,CA,90012.0,2023-05-16 03:06:07.701579,OPEN NOW,http://www.redbird.la,,4.0,15.0,4.5,268.0,8.99
62,Orchid Bar|Kitchen,(213) 784-3048,,,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Beer & Ale']",Los Angeles,CA,90017.0,2023-05-16 03:13:28.043368,OPEN NOW,http://barandkitchenla.com,,4.5,,,,
63,Atlacatl Restaurant,(323) 663-1404,1.0,21.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Latin American Restaurants', 'Spanish Restaurants']",Los Angeles,CA,90004.0,2023-05-16 03:13:27.819492,OPEN NOW,http://www.atlacatl.dinehere.us,Order Online,,21.0,4.0,19.0,7.83
64,Veggie Grill,(323) 822-7575,2.0,13.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Good for families']","['Restaurants', 'Vegetarian Restaurants', 'Breakfast, Brunch & Lunch Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:13:27.785920,OPEN NOW,http://www.veggiegrill.com,Order Online,,13.0,4.5,214.0,8.28
65,Bel Air Bar & Grill,(310) 440-5544,,16.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'American Restaurants', 'Bars']",Los Angeles,CA,90049.0,2023-05-16 03:13:27.902075,OPEN NOW,,,,16.0,,,
66,Don Chuy_s Restaurant,(310) 398-9606,1.0,22.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Mexican Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90066.0,2023-05-16 03:13:27.774603,OPEN NOW,,Order Online,1.0,22.0,,,
67,Santino_s Restaurant,(323) 464-8260,,,,"['Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90038.0,2023-05-16 03:13:27.830145,OPEN NOW,,,,,,,
68,Harand USA,(310) 473-8990,,,,"['Restaurants', 'Sushi Bars', 'American Restaurants']",Los Angeles,CA,90025.0,2023-05-16 03:13:27.740759,OPEN NOW,http://asakuma.com,,5.0,,,,
69,The Good Pizza,(310) 215-1883,2.0,15.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90045.0,2023-05-16 03:13:27.854485,OPEN NOW,http://thegoodpizza.com,Order Online,,15.0,4.0,6.0,
70,Headlines Diner & Press Club,(310) 208-2424,1.0,35.0,"['Offers outdoor seating', 'Wheelchair accessible']","['Restaurants', 'American Restaurants', 'Coffee Shops']",Los Angeles,CA,90024.0,2023-05-16 03:13:27.867967,OPEN NOW,,Order Online,,35.0,4.5,20.0,
71,El Salsabor Restaurant,(323) 266-1400,1.0,13.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Latin American Restaurants', 'American Restaurants']",Los Angeles,CA,90063.0,2023-05-16 03:13:27.929209,OPEN NOW,http://www.elsalsabor.net,,5.0,13.0,4.0,2.0,
72,The Confection Co-op,(323) 467-1080,1.0,,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi']","['Restaurants', 'Take Out Restaurants', 'Caterers']",Los Angeles,CA,90038.0,2023-05-16 03:13:27.955427,CLOSED NOW,http://theconfectionco-op.com,,4.0,,,,
73,El Asador Restaurant,(213) 387-8220,2.0,23.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations', 'Good for families']","['Restaurants', 'Family Style Restaurants', 'Caterers']",Los Angeles,CA,90006.0,2023-05-16 03:13:27.971165,OPEN NOW,,Order Online,1.0,23.0,,,
74,Vinoteque,(310) 860-6060,1.0,14.0,"['Offers outdoor seating', 'Good for groups', 'Serves alcohol']","['Restaurants', 'Mediterranean Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:13:27.763220,OPEN NOW,http://www.vinotequeonmelrose.com,Order Online,2.0,14.0,,,
75,Upstairs 2,(310) 231-0316,3.0,19.0,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Caterers']",Los Angeles,CA,90064.0,2023-05-16 03:13:27.983585,,http://www.upstairs2.com,Order Online,,19.0,,,7.44
76,Sansui Restaurant,(323) 660-3868,,,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",Los Angeles,CA,90027.0,2023-05-16 03:13:27.995222,OPEN NOW,,,,,,,
77,The Hart and the Hunter,(323) 424-3055,2.0,21.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Fine Dining Restaurants']",Los Angeles,CA,90046.0,2023-05-16 03:13:28.007521,CLOSED NOW,http://www.thehartandthehunter.com,Order Online,,21.0,4.0,68.0,
78,Fuddruckers,(310) 277-7756,,43.0,,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",Los Angeles,CA,90067.0,2023-05-16 03:13:28.019006,CLOSED NOW,http://www.fuddruckers.com,,,43.0,,,
79,WP24,(213) 743-8824,3.0,,"['Wheelchair accessible', 'Good for groups', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Chinese Restaurants']",Los Angeles,CA,90015.0,2023-05-16 03:13:28.031340,CLOSED NOW,http://www.wolfgangpuck.com/restaurants/fine-dining/57129,,4.5,,4.0,303.0,
80,Corner Bakery Cafe,(310) 824-1314,2.0,32.0,,"['Restaurants', 'Sandwich Shops', 'American Restaurants']",Los Angeles,CA,90024.0,2023-05-16 03:13:27.808235,CLOSED NOW,https://www.cornerbakerycafe.com/location/westwood,Order Online,,32.0,4.0,57.0,
81,Truxton_s American Bistro,(310) 417-8789,2.0,18.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'American Restaurants', 'Caterers']",Los Angeles,CA,90045.0,2023-05-16 03:06:07.712727,OPEN NOW,http://www.truxtonsamericanbistro.com,Order Online,3.0,18.0,4.5,269.0,8.7
82,Pacific Restaurant,(310) 631-3969,,,,"['Restaurants', 'Family Style Restaurants']",Compton,CA,90221.0,2023-05-16 03:06:25.155559,,,,,,,,
83,Breadsticks Restaurant,(310) 271-0498,1.0,,,"['Restaurants', 'Family Style Restaurants', 'Pizza']",Los Angeles,CA,90048.0,2023-05-16 03:13:28.091853,OPEN NOW,,Order Online,5.0,,,,
84,Javan Restaurant,(310) 207-5555,1.0,,['Serves alcohol'],"['Restaurants', 'Middle Eastern Restaurants', 'Caterers']",Los Angeles,CA,90025.0,2023-05-16 03:13:28.103916,OPEN NOW,http://javanrestaurant.com,Order Online,4.0,,,,6.62
85,Fabrocini_s-Beverly Glen,(310) 475-7404,2.0,26.0,"['Offers outdoor seating', 'Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Pizza', 'Italian Restaurants']",Los Angeles,CA,90077.0,2023-05-16 03:13:28.115796,OPEN NOW,http://www.fabrocinibeverlyglen.com,,4.0,26.0,4.5,48.0,7.09
86,Taix French Restaurant,(213) 484-1265,2.0,61.0,"['Wheelchair accessible', 'Has Wifi', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'French Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90026.0,2023-05-16 03:13:28.149686,OPEN NOW,http://www.taixfrench.com,Order Online,,61.0,4.5,137.0,7.9
87,Pastina Restaurant,(310) 441-4655,2.0,30.0,"['Wheelchair accessible', 'Serves alcohol', 'Takes reservations']","['Restaurants', 'Italian Restaurants', 'Family Style Restaurants']",Los Angeles,CA,90064.0,2023-05-16 03:13:27.751991,OPEN NOW,http://www.pastina.net,Order Online,3.0,30.0,4.5,54.0,6.81
88,Corner Kitchen,(323) 588-0068,1.0,,['Takes reservations'],"['Restaurants', 'American Restaurants']",Huntington Park,CA,90255.0,2023-05-16 03:06:09.297827,OPEN NOW,http://www.benandholly.tv,Order Online,,,,,
89,King_s Buffet,(323) 589-1388,2.0,26.0,"['Wheelchair accessible', 'Serves alcohol']","['Restaurants', 'Buffet Restaurants', 'American Restaurants']",Huntington Park,CA,90255.0,2023-05-16 03:06:08.837441,OPEN NOW,http://www.kingsbuffet.com,,2.5,26.0,,,5.56
